Length	Version	Position_percentage
15322081	GCA_006459085.1	0.543719702169778
12648203	GCA_006459085.1	0.992554111029965
12281975	GCA_006459085.1	1.42839254505578
11770751	GCA_006459085.1	1.84608967301344
11463677	GCA_006459085.1	2.25288996627716
11209052	GCA_006459085.1	2.65065463121044
10001089	GCA_006459085.1	3.0055534946516
9758486	GCA_006459085.1	3.3518433427178
9420402	GCA_006459085.1	3.68613593455044
9399899	GCA_006459085.1	4.01970095647572
9238453	GCA_006459085.1	4.3475369021067
8442409	GCA_006459085.1	4.64712441290732
8200750	GCA_006459085.1	4.93813640713766
7982540	GCA_006459085.1	5.22140499652564
7880282	GCA_006459085.1	5.5010448562845
7826616	GCA_006459085.1	5.77878032319119
7824462	GCA_006459085.1	6.05643935320668
7775463	GCA_006459085.1	6.33235960363429
7720401	GCA_006459085.1	6.60632592272315
7655738	GCA_006459085.1	6.87799760917683
7574001	GCA_006459085.1	7.14676877465713
7405257	GCA_006459085.1	7.40955188685518
7374980	GCA_006459085.1	7.67126058876767
7355771	GCA_006459085.1	7.93228763968518
7244299	GCA_006459085.1	8.18935899276762
7186405	GCA_006459085.1	8.44437591809724
7090906	GCA_006459085.1	8.69600396381988
7029825	GCA_006459085.1	8.94546448783784
6992372	GCA_006459085.1	9.19359595387697
6912621	GCA_006459085.1	9.43889737418225
6885751	GCA_006459085.1	9.68324528507864
6873064	GCA_006459085.1	9.92714298481497
6870264	GCA_006459085.1	10.1709413236899
6832894	GCA_006459085.1	10.4134135499259
6744796	GCA_006459085.1	10.6527595286031
6701229	GCA_006459085.1	10.8905594877634
6679962	GCA_006459085.1	11.1276047656957
6608043	GCA_006459085.1	11.3620979244177
6554082	GCA_006459085.1	11.5946762219111
6533295	GCA_006459085.1	11.826516871467
6522169	GCA_006459085.1	12.057962703543
6484507	GCA_006459085.1	12.2880720610616
6440919	GCA_006459085.1	12.5166346538569
6280199	GCA_006459085.1	12.7394939332098
6214243	GCA_006459085.1	12.9600126965012
6208692	GCA_006459085.1	13.1803344768849
6203307	GCA_006459085.1	13.4004651650407
6123484	GCA_006459085.1	13.617763252469
6074409	GCA_006459085.1	13.8333198633717
6069858	GCA_006459085.1	14.0487149773887
6057908	GCA_006459085.1	14.2636860334438
6042788	GCA_006459085.1	14.4781205408476
5963544	GCA_006459085.1	14.6897429939306
5894895	GCA_006459085.1	14.898929367095
5877255	GCA_006459085.1	15.1074897668329
5877050	GCA_006459085.1	15.3160428919362
5857097	GCA_006459085.1	15.5238879644443
5819144	GCA_006459085.1	15.7303862359626
5818800	GCA_006459085.1	15.9368723002893
5721393	GCA_006459085.1	16.1399017776793
5697963	GCA_006459085.1	16.3420998175757
5634447	GCA_006459085.1	16.5420439273041
5624600	GCA_006459085.1	16.7416386061747
5606791	GCA_006459085.1	16.940601314481
5562306	GCA_006459085.1	17.1379854271023
5544323	GCA_006459085.1	17.3347313945915
5533208	GCA_006459085.1	17.5310829349471
5503843	GCA_006459085.1	17.7263924282692
5480442	GCA_006459085.1	17.9208715131923
5426030	GCA_006459085.1	18.113419732691
5411011	GCA_006459085.1	18.3054349876265
5395612	GCA_006459085.1	18.4969037933105
5359968	GCA_006459085.1	18.6871077352293
5355372	GCA_006459085.1	18.8771485833914
5285900	GCA_006459085.1	19.064724146639
5277998	GCA_006459085.1	19.2520192993413
5169457	GCA_006459085.1	19.4354627637388
5153554	GCA_006459085.1	19.6183418939298
5006830	GCA_006459085.1	19.7960143730411
5000266	GCA_006459085.1	19.9734539219046
4995763	GCA_006459085.1	20.1507336772114
4968583	GCA_006459085.1	20.3270489224425
4956322	GCA_006459085.1	20.5029290735589
4952669	GCA_006459085.1	20.6786795942372
4904780	GCA_006459085.1	20.852730724812
4895828	GCA_006459085.1	21.0264641845186
4878383	GCA_006459085.1	21.1995785905728
4847312	GCA_006459085.1	21.3715904104401
4740647	GCA_006459085.1	21.5398171137797
4730330	GCA_006459085.1	21.7076777078312
4684754	GCA_006459085.1	21.8739209909478
4666986	GCA_006459085.1	22.039533758427
4656070	GCA_006459085.1	22.204759160491
4650746	GCA_006459085.1	22.3697956349742
4648660	GCA_006459085.1	22.5347580856158
4611619	GCA_006459085.1	22.6984060985196
4578050	GCA_006459085.1	22.8608628811536
4558299	GCA_006459085.1	23.0226187793688
4556532	GCA_006459085.1	23.1843119737833
4551199	GCA_006459085.1	23.3458159212428
4546096	GCA_006459085.1	23.5071387835326
4544909	GCA_006459085.1	23.6684195239143
4544686	GCA_006459085.1	23.8296923509131
4504506	GCA_006459085.1	23.9895393495514
4502620	GCA_006459085.1	24.1493194215523
4489491	GCA_006459085.1	24.3086335975714
4488973	GCA_006459085.1	24.4679293918313
4486156	GCA_006459085.1	24.6271252219673
4483669	GCA_006459085.1	24.7862327983669
4451307	GCA_006459085.1	24.9441919761252
4445915	GCA_006459085.1	25.1019598132533
4439613	GCA_006459085.1	25.2595040174714
4438899	GCA_006459085.1	25.4170228846697
4432048	GCA_006459085.1	25.574298637132
4429931	GCA_006459085.1	25.7314992656858
4412229	GCA_006459085.1	25.8880717206797
4398408	GCA_006459085.1	26.0441537233646
4375298	GCA_006459085.1	26.1994156440831
4365894	GCA_006459085.1	26.3543438542515
4320976	GCA_006459085.1	26.5076781032874
4317072	GCA_006459085.1	26.6608738148938
4316508	GCA_006459085.1	26.8140495123838
4290951	GCA_006459085.1	26.9663182936117
4278401	GCA_006459085.1	27.1181417252645
4248131	GCA_006459085.1	27.268890995034
4246276	GCA_006459085.1	27.4195744382328
4207852	GCA_006459085.1	27.5688943665254
4186035	GCA_006459085.1	27.717440096278
4177054	GCA_006459085.1	27.8656671260676
4087695	GCA_006459085.1	28.0107231604249
4069501	GCA_006459085.1	28.1551335620994
4067566	GCA_006459085.1	28.2994752983216
4061111	GCA_006459085.1	28.4435879722722
4053078	GCA_006459085.1	28.5874155870088
4047578	GCA_006459085.1	28.7310480286249
4046782	GCA_006459085.1	28.8746522233675
4044156	GCA_006459085.1	29.0181632318165
4030636	GCA_006459085.1	29.1611944692493
4015494	GCA_006459085.1	29.3036883773382
4013519	GCA_006459085.1	29.4461122005338
4012408	GCA_006459085.1	29.588496598759
4001258	GCA_006459085.1	29.7304853278399
3989565	GCA_006459085.1	29.8720591188665
3977159	GCA_006459085.1	30.0131926703053
3975663	GCA_006459085.1	30.1542731346552
3957101	GCA_006459085.1	30.2946949074663
